artery,ANN,SVM,Tree,NB
59 lmt,0.918918918918919,0.9459459459459459,0.8918918918918919,0.8918918918918919
60 ladprox,0.43243243243243246,0.5675675675675675,0.5405405405405406,0.5135135135135135
61 laddist,0.5945945945945946,0.4864864864864865,0.4864864864864865,0.32432432432432434
62 diag,0.7297297297297297,0.6486486486486487,0.7027027027027027,0.3783783783783784
63 cxmain,0.8108108108108109,0.7567567567567568,0.7027027027027027,0.32432432432432434
64 ramus,0.7297297297297297,0.6216216216216216,0.7027027027027027,0.40540540540540543
65 om1,0.8378378378378378,0.8648648648648649,0.918918918918919,0.43243243243243246
66 om2,0.918918918918919,0.8918918918918919,0.8108108108108109,0.2702702702702703
67 rcaprox,0.5405405405405406,0.5135135135135135,0.5405405405405406,0.4864864864864865
68 rcadist,0.6756756756756757,0.6486486486486487,0.5945945945945946,0.32432432432432434
