,ANN,SVM,Tree
0,"[[49  2  2]
 [ 2  0  0]
 [ 3  0  1]]","[[49  0  2]
 [ 2  1  0]
 [ 3  1  1]]","[[54  1  2]
 [ 0  0  0]
 [ 0  1  1]]"
1,"[[46  1  4]
 [ 1  0  0]
 [ 4  0  3]]","[[43  1  2]
 [ 2  0  0]
 [ 6  0  5]]","[[42  1  4]
 [ 0  0  1]
 [ 9  0  2]]"
2,"[[44  2  6]
 [ 3  0  0]
 [ 3  0  1]]","[[50  2  7]
 [ 0  0  0]
 [ 0  0  0]]","[[46  2  6]
 [ 2  0  0]
 [ 2  0  1]]"
3,"[[56  2]
 [ 1  0]]","[[55  2]
 [ 2  0]]","[[53  0  2]
 [ 2  0  0]
 [ 2  0  0]]"
4,"[[40  2  8]
 [ 1  0  0]
 [ 7  0  1]]","[[45  2  7]
 [ 0  0  0]
 [ 3  0  2]]","[[40  2  5]
 [ 1  0  1]
 [ 7  0  3]]"
5,"[[52  2  1]
 [ 0  0  0]
 [ 4  0  0]]","[[56  2  1]
 [ 0  0  0]
 [ 0  0  0]]","[[54  2  1]
 [ 0  0  0]
 [ 2  0  0]]"
6,"[[48  1  4]
 [ 1  0  0]
 [ 4  0  1]]","[[52  1  5]
 [ 1  0  0]
 [ 0  0  0]]","[[50  1  4]
 [ 1  0  0]
 [ 2  0  1]]"
7,"[[56  1]
 [ 2  0]]","[[57  0]
 [ 1  1]]","[[56  1]
 [ 2  0]]"
8,"[[41  1  6]
 [ 3  0  0]
 [ 6  0  2]]","[[47  1  8]
 [ 0  0  0]
 [ 3  0  0]]","[[42  1  6]
 [ 2  0  0]
 [ 6  0  2]]"
9,"[[50  1  3]
 [ 0  0  0]
 [ 3  0  2]]","[[51  1  3]
 [ 2  0  0]
 [ 0  0  2]]","[[46  1  3]
 [ 0  0  0]
 [ 7  0  2]]"
